seed,heldout_condition,model,train_loss,heldout_loss
910005,orthogonal_trap,eta_only,53.930138771760205,21.080733747886104
910005,orthogonal_trap,zeta_only,51.125336892979014,12.729893856996272
910005,orthogonal_trap,generic_hidden_oscillator,54.06236165680471,21.62872976380217
910005,orthogonal_trap,null_no_coupling,94.46000581783159,39.19330273890845
910005,orthogonal_trap,replay_only_basis,19.691183179881225,4.606764246835223
910005,counterphase,full_reciprocal,1.6783332120586818,2.2492771432319034
910005,counterphase,eta_only,62.77529795151306,11.327931832326998
910005,counterphase,zeta_only,51.795259773009796,12.38480080801759
910005,counterphase,generic_hidden_oscillator,47.22701965315654,27.32811708901507
910005,counterphase,null_no_coupling,103.81838121240415,29.834927344335874
910005,counterphase,replay_only_basis,19.247451360308332,2.633793533383963
910005,lagged_E_to_Y,full_reciprocal,3.4375377954883946,0.5717920376500691
910005,lagged_E_to_Y,eta_only,46.3010128989812,27.112626288246354
910005,lagged_E_to_Y,zeta_only,62.10984950242869,2.4669828213519627
910005,lagged_E_to_Y,generic_hidden_oscillator,62.13165732536367,12.499041913786364
910005,lagged_E_to_Y,null_no_coupling,107.63007365916286,26.023234897577172
910005,lagged_E_to_Y,replay_only_basis,15.21780709358375,8.78551250847594
910005,recovery_probe,full_reciprocal,3.6386574447675653,0.22099700706188374
910005,recovery_probe,eta_only,71.84955765150778,1.5640815357197726
910005,recovery_probe,zeta_only,62.55023950545861,0.8838751217307231
910005,recovery_probe,generic_hidden_oscillator,74.04322062484816,0.5119161173234414
910005,recovery_probe,null_no_coupling,132.07958816076416,1.5737203959758856
910005,recovery_probe,replay_only_basis,18.371535332688186,0.16995389543158604
910005,lagged_Y_to_E,full_reciprocal,3.649751552761735,0.20990289906771403
910005,lagged_Y_to_E,eta_only,70.63575625729133,7.620459875904982
910005,lagged_Y_to_E,zeta_only,36.77185178588228,26.662262841307054
910005,lagged_Y_to_E,generic_hidden_oscillator,63.38185740125204,11.248841837897993
910005,lagged_Y_to_E,null_no_coupling,108.21927109985297,25.434037456887058
910005,lagged_Y_to_E,replay_only_basis,12.532528356870127,17.797111611002972
910006,doublet_EY,full_reciprocal,1.0935777328965213,0.16685695565663475
910006,doublet_EY,eta_only,51.04406748519551,16.411108193428056
910006,doublet_EY,zeta_only,45.98643268657263,14.220292775422777
910006,doublet_EY,generic_hidden_oscillator,55.564533991215676,13.346320496930018
910006,doublet_EY,null_no_coupling,112.7744447886641,12.322234726929427
910006,doublet_EY,replay_only_basis,19.199088054989105,5.126516524662623
910006,orthogonal_trap,full_reciprocal,1.226941605010093,0.10641154371414702
910006,orthogonal_trap,eta_only,47.86999120200335,19.924374498362692
910006,orthogonal_trap,zeta_only,50.85293489778507,9.841030865544754
910006,orthogonal_trap,generic_hidden_oscillator,41.9757231137304,20.548014484399836
910006,orthogonal_trap,null_no_coupling,88.47313601642483,36.62354349916868
910006,orthogonal_trap,replay_only_basis,20.695294394001365,4.440054216077897
910006,counterphase,full_reciprocal,0.9770461014563295,0.2833885870968264
910006,counterphase,eta_only,61.73025739932904,5.245807046688504
910006,counterphase,zeta_only,52.274140070985204,7.744642246640634
910006,counterphase,generic_hidden_oscillator,45.06630324220005,17.195012248432125
910006,counterphase,null_no_coupling,104.9106207231816,20.18605879241192
910006,counterphase,replay_only_basis,19.71732736466495,1.6010246225216205
910006,lagged_E_to_Y,full_reciprocal,0.9022736739335684,0.4144485131943969
910006,lagged_E_to_Y,eta_only,38.930561570505056,27.534595241815488
910006,lagged_E_to_Y,zeta_only,57.96325871931446,2.243466742680946
910006,lagged_E_to_Y,generic_hidden_oscillator,53.116208602582645,9.407528995547601
910006,lagged_E_to_Y,null_no_coupling,98.34608963989601,26.750589875697507
910006,lagged_E_to_Y,replay_only_basis,14.418320162088978,11.59610444534665
910006,recovery_probe,full_reciprocal,0.9740441373530256,0.2863905512001303
910006,recovery_probe,eta_only,64.72342442742229,1.7417323848982553
910006,recovery_probe,zeta_only,59.02654458788497,0.6711792741478868
910006,recovery_probe,generic_hidden_oscillator,61.410227515234865,0.8917549303992416
910006,recovery_probe,null_no_coupling,123.49923780679997,1.5974417087935424
910006,recovery_probe,replay_only_basis,19.24572173327775,0.21279552295946813
910006,lagged_Y_to_E,full_reciprocal,1.1178828538747654,0.14255183467839058
