time_sec,cue_on,cue_impulse,cue_value,cue_index_active,cue_phase_sin,cue_phase_cos,cue_nominal_frequency_hz
94.75,1.0,0.0,5.0,31.0,-0.4999999999999928,-0.8660254037844428,0.3333333333333333
95.0,1.0,0.0,5.0,31.0,-0.8660254037844288,-0.500000000000017,0.3333333333333333
95.25,0.0,0.0,0.0,0.0,-1.0,-3.086914608678895e-14,0.3333333333333333
95.5,0.0,0.0,0.0,0.0,-0.8660254037844455,0.4999999999999881,0.3333333333333333
95.75,0.0,0.0,0.0,0.0,-0.5000000000000216,0.8660254037844262,0.3333333333333333
96.0,0.0,0.0,0.0,0.0,-7.83773951454306e-15,1.0,0.3333333333333333
96.25,0.0,0.0,0.0,0.0,0.49999999999998346,0.8660254037844481,0.3333333333333333
96.5,0.0,0.0,0.0,0.0,0.8660254037844235,0.5000000000000263,0.3333333333333333
96.75,0.0,0.0,0.0,0.0,1.0,1.322804237270118e-14,0.3333333333333333
97.0,0.0,0.0,0.0,0.0,0.8660254037844509,-0.4999999999999788,0.3333333333333333
97.25,0.0,1.0,0.0,0.0,0.500000000000031,-0.8660254037844207,0.3333333333333333
97.5,1.0,0.0,8.0,32.0,1.8618345230859297e-14,-1.0,0.3333333333333333
97.75,1.0,0.0,8.0,32.0,-0.49999999999997413,-0.8660254037844536,0.3333333333333333
98.0,1.0,0.0,8.0,32.0,-0.8660254037844323,-0.500000000000011,0.3333333333333333
98.25,0.0,0.0,0.0,0.0,-1.0,-2.400864808901742e-14,0.3333333333333333
98.5,0.0,0.0,0.0,0.0,-0.8660254037844562,0.49999999999996947,0.3333333333333333
98.75,0.0,0.0,0.0,0.0,-0.5000000000000157,0.8660254037844296,0.3333333333333333
99.0,0.0,0.0,0.0,0.0,-2.939895094717554e-14,1.0,0.3333333333333333
99.25,0.0,0.0,0.0,0.0,0.4999999999999894,0.8660254037844448,0.3333333333333333
99.5,0.0,0.0,0.0,0.0,0.8660254037844269,0.5000000000000203,0.3333333333333333
99.75,0.0,0.0,0.0,0.0,1.0,3.478925380533366e-14,0.3333333333333333
100.0,0.0,0.0,0.0,0.0,0.8660254037844475,-0.49999999999998473,0.3333333333333333
100.25,0.0,1.0,0.0,0.0,0.500000000000025,-0.8660254037844242,0.3333333333333333
100.5,1.0,0.0,7.0,33.0,1.1757847233087767e-14,-1.0,0.3333333333333333
100.75,1.0,0.0,7.0,33.0,-0.49999999999998007,-0.8660254037844501,0.3333333333333333
101.0,1.0,0.0,7.0,33.0,-0.8660254037844215,-0.5000000000000298,0.3333333333333333
101.25,0.0,0.0,0.0,0.0,-1.0,-1.7148150091245887e-14,0.3333333333333333
101.5,0.0,0.0,0.0,0.0,-0.8660254037844528,0.4999999999999754,0.3333333333333333
101.75,0.0,0.0,0.0,0.0,-0.5000000000000098,0.866025403784433,0.3333333333333333
102.0,0.0,0.0,0.0,0.0,-2.2538452949404006e-14,1.0,0.3333333333333333
102.25,0.0,0.0,0.0,0.0,0.4999999999999707,0.8660254037844556,0.3333333333333333
102.5,0.0,0.0,0.0,0.0,0.8660254037844304,0.5000000000000144,0.3333333333333333
102.75,0.0,0.0,0.0,0.0,1.0,2.7928755807562125e-14,0.3333333333333333
103.0,0.0,0.0,0.0,0.0,0.866025403784444,-0.4999999999999907,0.3333333333333333
103.25,0.0,1.0,0.0,0.0,0.5000000000000191,-0.8660254037844276,0.3333333333333333
103.5,1.0,0.0,1.0,34.0,3.3319058665720244e-14,-1.0,0.3333333333333333
103.75,1.0,0.0,1.0,34.0,-0.499999999999986,-0.8660254037844467,0.3333333333333333
104.0,1.0,0.0,1.0,34.0,-0.8660254037844249,-0.5000000000000238,0.3333333333333333
104.25,0.0,0.0,0.0,0.0,-1.0,-1.0287652093474354e-14,0.3333333333333333
104.5,0.0,0.0,0.0,0.0,-0.8660254037844494,0.49999999999998135,0.3333333333333333
104.75,0.0,0.0,0.0,0.0,-0.5000000000000284,0.8660254037844223,0.3333333333333333
