condition,phase_time_sec,time_lsl,lz_complexity_norm
WASHOUT_2,2.5,34221.8062942,0.3189050971091868
WASHOUT_2,3.5,34222.8062942,0.28900774425520054
WASHOUT_2,4.5,34223.8062942,0.2690761756858764
WASHOUT_2,5.5,34224.8062942,0.20928146997790384
WASHOUT_2,6.5,34225.8062942,0.22921303854722802
WASHOUT_2,7.5,34226.8062942,0.2391788228318901
WASHOUT_2,8.5,34227.8062942,0.22921303854722802
WASHOUT_2,9.5,34228.8062942,0.2690761756858764
WASHOUT_2,10.5,34229.8062942,0.3189050971091868
WASHOUT_2,11.5,34230.8062942,0.2591103914012143
WASHOUT_2,12.5,34231.8062942,0.2391788228318901
WASHOUT_2,13.5,34232.8062942,0.20928146997790384
WASHOUT_2,14.5,34233.8062942,0.11958941141594505
WASHOUT_2,15.5,34234.8062942,0.059794705707972524
WASHOUT_2,16.5,34235.8062942,0.059794705707972524
WASHOUT_2,17.5,34236.8062942,0.059794705707972524
WASHOUT_2,18.5,34237.8062942,0.059794705707972524
WASHOUT_2,19.5,34238.8062942,0.059794705707972524
WASHOUT_2,20.5,34239.8062942,0.059794705707972524
WASHOUT_2,21.5,34240.8062942,0.059794705707972524
WASHOUT_2,22.5,34241.8062942,0.059794705707972524
WASHOUT_2,23.5,34242.8062942,0.059794705707972524
WASHOUT_2,24.5,34243.8062942,0.059794705707972524
WASHOUT_2,25.5,34244.8062942,0.059794705707972524
WASHOUT_2,26.5,34245.8062942,0.059794705707972524
WASHOUT_2,27.5,34246.8062942,0.059794705707972524
WASHOUT_2,28.5,34247.8062942,0.09965784284662088
WASHOUT_2,29.5,34248.8062942,0.09965784284662088
WASHOUT_2,30.5,34249.8062942,0.09965784284662088
WASHOUT_2,31.5,34250.8062942,0.09965784284662088
WASHOUT_2,32.5,34251.8062942,0.08969205856195879
WASHOUT_2,33.5,34252.8062942,0.059794705707972524
WASHOUT_2,34.5,34253.8062942,0.059794705707972524
WASHOUT_2,35.5,34254.8062942,0.059794705707972524
WASHOUT_2,36.5,34255.8062942,0.059794705707972524
WASHOUT_2,37.5,34256.8062942,0.059794705707972524
WASHOUT_2,38.5,34257.8062942,0.059794705707972524
WASHOUT_2,39.5,34258.8062942,0.059794705707972524
WASHOUT_2,40.5,34259.8062942,0.059794705707972524
WASHOUT_2,41.5,34260.8062942,0.059794705707972524
WASHOUT_2,42.5,34261.8062942,0.059794705707972524
WASHOUT_2,43.5,34262.8062942,0.059794705707972524
