phase,phase_time,time,feature_state_lz_proxy,complexity_z
CONTEXTUAL_OVERRIDE_1,68.0,344737.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,69.0,344738.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,70.0,344739.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,71.0,344740.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,72.0,344741.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,73.0,344742.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,74.0,344743.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,75.0,344744.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,76.0,344745.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,77.0,344746.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,78.0,344747.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,79.0,344748.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,80.0,344749.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,81.0,344750.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,82.0,344751.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,83.0,344752.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,84.0,344753.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,85.0,344754.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,86.0,344755.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,87.0,344756.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,88.0,344757.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,89.0,344758.5595471,3.633077294417076,-0.6744999959155837
CONTEXTUAL_OVERRIDE_1,90.0,344759.5595471,3.633077294417076,-0.6744999959155837
CONTEXTUAL_OVERRIDE_1,91.0,344760.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,92.0,344761.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,93.0,344762.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,94.0,344763.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,95.0,344764.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,96.0,344765.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,97.0,344766.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,98.0,344767.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,99.0,344768.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,100.0,344769.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,101.0,344770.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,102.0,344771.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,103.0,344772.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,104.0,344773.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,105.0,344774.5595471,4.12849692547395,1.348999991831164
