phase,phase_time,time,blink_sentinel_z,ptp_median_z,blink_proxy_event
WASHOUT_1,32.0,344065.1887116,-1.0330539099470282,-0.5538988479613308,0
WASHOUT_1,33.0,344066.1887116,-0.6293338436685894,-0.3494661395442389,0
WASHOUT_1,34.0,344067.1887116,0.3120953469292417,-0.1149946471818755,0
WASHOUT_1,35.0,344068.1887116,-0.04743202876929,-0.6019669371876669,0
WASHOUT_1,36.0,344069.1887116,-1.668014349131366,1.12360202961403,0
WASHOUT_1,37.0,344070.1887116,-0.7903246728371762,0.9769083599506068,0
WASHOUT_1,38.0,344071.1887116,-0.7488882177987477,-0.0399263531597292,0
WASHOUT_1,39.0,344072.1887116,-1.2336361400858045,0.0067657756970394,0
WASHOUT_1,40.0,344073.1887116,-0.3835633884266182,-0.1165788120810486,0
WASHOUT_1,41.0,344074.1887116,0.0759680829578939,0.9369964568622988,0
WASHOUT_1,42.0,344075.1887116,-0.2794131341612705,1.1076517521720706,0
WASHOUT_1,43.0,344076.1887116,-0.0747548588884293,1.9972644453225328,0
WASHOUT_1,44.0,344077.1887116,0.0730060415494259,0.2164518766654841,0
WASHOUT_1,45.0,344078.1887116,0.4544633604902667,-0.5049979406165722,0
WASHOUT_1,46.0,344079.1887116,-0.1092941721174718,-0.7242765372316285,0
WASHOUT_1,47.0,344080.1887116,-0.789943313694101,-0.6982358837461746,0
WASHOUT_1,48.0,344081.1887116,0.6428707425445203,-0.7494843725986601,0
WASHOUT_1,49.0,344082.1887116,0.0020015990989161,-0.7874620857815017,0
WASHOUT_1,50.0,344083.1887116,-0.3981197062490667,-0.442560721390499,0
WASHOUT_1,51.0,344084.1887116,-1.859712880047568,-0.2617547008982164,0
WASHOUT_1,52.0,344085.1887116,-0.3679805863339609,0.1670681762085966,0
WASHOUT_1,53.0,344086.1887116,-0.981931075032904,-0.0377809412677063,0
WASHOUT_1,54.0,344087.1887116,-0.0478920157569697,-0.4995363435356137,0
WASHOUT_1,55.0,344088.1887116,0.0038100757491631,0.1359219855623793,0
WASHOUT_1,56.0,344089.1887116,-1.835565663263216,1.2458512805189754,0
WASHOUT_1,57.0,344090.1887116,0.0230076611794078,0.0576672570001821,0
WASHOUT_1,58.0,344091.1887116,-1.007171508503515,1.0678695997326473,0
WASHOUT_1,59.0,344092.1887116,-2.1758198502539083,0.7190214016499905,0
WASHOUT_1,60.0,344093.1887116,-0.7423360745246445,0.7108772853397658,0
WASHOUT_1,61.0,344094.1887116,0.9992255626682692,-0.2784714124056804,0
WASHOUT_1,62.0,344095.1887116,1.222073925259008,-0.3402115990761176,0
WASHOUT_1,63.0,344096.1887116,-0.936531101096935,-0.6291783639700335,0
WASHOUT_1,64.0,344097.1887116,-1.2967678145412,-0.5061747488273866,0
WASHOUT_1,65.0,344098.1887116,-1.0399581222100722,-0.2084362365774782,0
WASHOUT_1,66.0,344099.1887116,-1.6348602047406997,-0.735392848638397,0
WASHOUT_1,67.0,344100.1887116,-1.4670991139092204,-0.6979643126206021,0
WASHOUT_1,68.0,344101.1887116,-0.5512513361119707,-0.5659777281354064,0
WASHOUT_1,69.0,344102.1887116,-0.7890002060522644,-0.6298663441548172,0
WASHOUT_1,70.0,344103.1887116,-0.935274064897924,-0.7097686042121544,0
WASHOUT_1,71.0,344104.1887116,-0.0195129894068751,-0.6531369721594315,0
WASHOUT_1,72.0,344105.1887116,-1.7541686152534053,0.856185942262769,0
WASHOUT_1,73.0,344106.1887116,-0.6121410208518299,2.7957197639891533,0
WASHOUT_1,74.0,344107.1887116,-0.8443671192527802,1.4768617497587646,0
WASHOUT_1,75.0,344108.1887116,-0.9885053453716612,-0.0104367463795043,0
WASHOUT_1,76.0,344109.1887116,-1.0971472417982926,-0.4230196701770807,0
WASHOUT_1,77.0,344110.1887116,-0.9522484124112904,-0.6310371174517299,0
WASHOUT_1,78.0,344111.1887116,0.41356194617022,-0.7699306608973201,0
WASHOUT_1,79.0,344112.1887116,-0.9536971151043124,-0.8582636956752085,0
WASHOUT_1,80.0,344113.1887116,-0.4982909863652767,-0.7371248689281595,0
WASHOUT_1,81.0,344114.1887116,0.6115750174074394,-0.6213028013284304,0
WASHOUT_1,82.0,344115.1887116,-0.8082154785639801,0.3459400067954127,0
WASHOUT_1,83.0,344116.1887116,-0.5959779601716716,0.1795604479849326,0
WASHOUT_1,84.0,344117.1887116,-0.606126774568429,0.060636434639775,0
WASHOUT_1,85.0,344118.1887116,-1.0462685527702995,-0.459899029029829,0
WASHOUT_1,86.0,344119.1887116,-0.4994434260811426,-0.293456103623382,0
WASHOUT_1,87.0,344120.1887116,-1.2173948808584432,-0.3741911817991415,0
WASHOUT_1,88.0,344121.1887116,-1.4846740678693755,-0.7281509519564632,0
WASHOUT_1,89.0,344122.1887116,-1.7338674369301903,-0.1590585710344924,0
WASHOUT_1,90.0,344123.1887116,-0.5566703365118283,0.3397300803906544,0
WASHOUT_1,91.0,344124.1887116,-1.1803892958482964,0.0475135143607207,0
WASHOUT_1,92.0,344125.1887116,0.0166673896378517,0.3192777571780928,0
WASHOUT_1,93.0,344126.1887116,-0.6628480268035967,-0.0304605907050515,0
WASHOUT_1,94.0,344127.1887116,-1.2234108767655032,-0.488703673082221,0
WASHOUT_1,95.0,344128.1887116,-0.396528909132527,-0.4851732484497782,0
WASHOUT_1,96.0,344129.1887116,-0.5096210007988266,-0.878221155947838,0
WASHOUT_1,97.0,344130.1887116,-0.6869133241846638,0.0973075889629177,0
WASHOUT_1,98.0,344131.1887116,-0.2493651166857511,0.4192189488457311,0
WASHOUT_1,99.0,344132.1887116,-1.3488530447819334,0.293934136248275,0
WASHOUT_1,100.0,344133.1887116,-0.5884866481254586,-0.293456103623382,0
WASHOUT_1,101.0,344134.1887116,-0.805747153783255,-0.6415408850974847,0
WASHOUT_1,102.0,344135.1887116,-0.5948818157196697,-0.7090142399744529,0
WASHOUT_1,103.0,344136.1887116,-1.287815162635924,-0.7177165858205767,0
WASHOUT_1,104.0,344137.1887116,0.0972795045602616,0.3830939542306843,0
WASHOUT_1,105.0,344138.1887116,-0.9868777984688776,0.4334462583687804,0
WASHOUT_1,106.0,344139.1887116,-0.0822568654936751,-0.0784622958784699,0
WASHOUT_1,107.0,344140.1887116,-0.6189995215735995,1.426035704879392,0
WASHOUT_1,108.0,344141.1887116,-1.0840643471210685,1.841934813865904,0
WASHOUT_1,109.0,344142.1887116,-1.1194643119656538,1.266569139943208,0
WASHOUT_1,110.0,344143.1887116,-0.8950948473130569,0.4493965358107398,0
WASHOUT_1,111.0,344144.1887116,-0.6827446320500413,0.4745410045818043,0
WASHOUT_1,112.0,344145.1887116,-0.6975196024975526,0.0678240170965944,0
WASHOUT_1,113.0,344146.1887116,-0.0997818703128711,0.4633522742082165,0
WASHOUT_1,114.0,344147.1887116,-1.408784053522085,-0.3268080553006383,0
TARGET_1,1.0,344192.7891736,2.2127810644306343,-0.2882751300388484,1
TARGET_1,2.0,344193.7891736,1.739606118750702,-0.5483044827745369,1
TARGET_1,3.0,344194.7891736,0.1542540242379868,-0.7606006840054286,0
TARGET_1,4.0,344195.7891736,0.928284613511526,-0.8696515782075496,0
TARGET_1,5.0,344196.7891736,-0.8400643448342888,-0.8463930200307386,0
TARGET_1,6.0,344197.7891736,-0.2188185664037766,-0.7913425354202379,0
TARGET_1,7.0,344198.7891736,-0.7879104156642708,-0.8561213012401364,0
TARGET_1,8.0,344199.7891736,-0.0346658312834071,-0.9206254784775116,0
TARGET_1,9.0,344200.7891736,-0.5355236906893551,-0.8947326803826473,0
TARGET_1,10.0,344201.7891736,-0.9813845330885278,-0.3070648344715161,0
TARGET_1,11.0,344202.7891736,-0.2357048170928422,0.2533915846572485,0
TARGET_1,12.0,344203.7891736,-0.2786340009734933,-0.5826944396428704,0
TARGET_1,13.0,344204.7891736,-1.294541049119238,-0.0096763472279013,0
TARGET_1,14.0,344205.7891736,-0.7960526139925972,-0.0009679664678758,0
TARGET_1,15.0,344206.7891736,-1.7042664490281392,-0.2276393326124062,0
TARGET_1,16.0,344207.7891736,-1.2510051623722955,-0.5345569489066657,0
TARGET_1,17.0,344208.7891736,-0.4784376720326448,-0.7959592445549707,0
TARGET_1,18.0,344209.7891736,-0.3583804707618226,-0.6514834057503899,0
TARGET_1,19.0,344210.7891736,-0.8727886585664992,-0.7700634290031555,0
TARGET_1,20.0,344211.7891736,0.3280357637107243,-0.7967980975872947,0
TARGET_1,21.0,344212.7891736,0.0022014557390063,-0.8803635503829101,0
TARGET_1,22.0,344213.7891736,-0.0259492331554336,-0.9470734886513243,0
TARGET_1,23.0,344214.7891736,-0.444819178088678,-0.6560518355739098,0
TARGET_1,24.0,344215.7891736,-0.633312395129001,-0.6240004078424507,0
TARGET_1,25.0,344216.7891736,0.202206690032317,-0.4881424260893711,0
TARGET_1,26.0,344217.7891736,-0.32259554393626,-0.6549353765021116,0
TARGET_1,27.0,344218.7891736,-0.6970744546447953,-0.9628246139345306,0
TARGET_1,28.0,344219.7891736,-1.1045262604010218,0.1417185203648772,0
TARGET_1,29.0,344220.7891736,0.1344795855056677,0.129696971872867,0
TARGET_1,30.0,344221.7891736,-0.9286624834592232,0.3180375823713116,0
TARGET_1,31.0,344222.7891736,-1.0081386359289295,-0.4224010915021655,0
TARGET_1,32.0,344223.7891736,-0.56355428032208,-0.7932012889019342,0
TARGET_1,33.0,344224.7891736,0.9963361926703164,-0.8523856895350389,0
TARGET_1,34.0,344225.7891736,0.6514118507764999,-0.9222156782905864,0
TARGET_1,35.0,344226.7891736,-0.2358607162676415,-0.945836331301494,0
TARGET_1,36.0,344227.7891736,0.0519622930762729,-0.8899590634864725,0
TARGET_1,37.0,344228.7891736,-1.0342641220740034,-0.2837157525861809,0
TARGET_1,38.0,344229.7891736,-0.6363633132186793,0.0765142931149151,0
TARGET_1,39.0,344230.7891736,-1.0221447398521075,-0.1781228640496833,0
TARGET_1,40.0,344231.7891736,-1.4680526493405677,-0.0496516169121763,0
TARGET_1,41.0,344232.7891736,-0.8098303081571915,-0.7883009388138257,0
TARGET_1,42.0,344233.7891736,-0.8894580558613631,-0.8458981570908064,0
TARGET_1,43.0,344234.7891736,-1.2168635219908666,-0.3723294108604943,0
TARGET_1,44.0,344235.7891736,-0.3471767725970898,-0.1073936731227958,0
TARGET_1,45.0,344236.7891736,0.4182213074362911,0.5147274962526358,0
