eta_E,zeta_E,K,K_loop,loss,delta_loss
4.25,145.0,24.82438317461282,616.25,3.6641707942352038,1.2538460078944422
4.25,150.0,25.248762345905195,637.5,3.2138738810910046,0.803549094750243
4.25,155.0,25.666125535421198,658.75,2.8638113920510775,0.45348660571031596
4.25,160.0,26.076809620810597,680.0,2.6137353152667986,0.20341052892603706
4.25,165.0,26.48112535373072,701.25,2.463414757167214,0.053089970826452504
4.25,170.0,26.879360111431225,722.5,2.412634235107818,0.002309448767056299
4.25,175.0,27.271780286589287,743.75,2.4611921875019283,0.050867401161166725
4.25,180.0,27.65863337187866,765.0,2.6088996681712637,0.1985748818305022
4.25,185.0,28.040149785619906,786.25,2.855579197535155,0.44525441119439346
4.25,190.0,28.416544476765644,807.5,3.2010637479680093,0.7907389616272478
4.25,195.0,28.788018340969565,828.75,3.6451958444506642,1.2348710581099027
4.25,200.0,29.154759474226502,850.0,4.18782676471985,1.7775019783790889
4.25,205.0,29.516944286290883,871.25,4.828815825631015,2.418491039290253
4.25,210.0,29.87473849257931,892.5,5.568029744509661,3.1577049581688996
4.25,215.0,30.22829800038368,913.75,6.40534206596475,3.9950172796239887
4.25,220.0,30.577769702841312,935.0,7.340632646045254,4.9303078597044925
4.25,225.0,30.923292192132454,956.25,8.373787186792681,5.963462400451919
4.25,230.0,31.264996401726965,977.5,9.504696815222852,7.09437202888209
4.25,235.0,31.603006186120965,998.75,10.733257701593155,8.322932915252395
4.25,240.0,31.937438845342623,1020.0,12.059370712506057,9.649045926165297
4.5,120.0,23.2379000772445,540.0,7.59903791905593,5.1887131327151685
4.5,125.0,23.717082451262844,562.5,6.6686337507041475,4.258308964363386
4.5,130.0,24.186773244895647,585.0,5.8400667763830745,3.429741990042313
4.5,135.0,24.647515087732476,607.5,5.112970442278963,2.702645655938201
4.5,140.0,25.099800796022265,630.0,4.487008487724952,2.076683701384191
4.5,145.0,25.544079548889602,652.5,3.961871367692402,1.5515465813516403
4.5,150.0,25.98076211353316,675.0,3.537273210872132,1.1269484245313706
4.5,155.0,26.410225292488512,697.5,3.2129492176409578,0.8026244313001962
4.5,160.0,26.832815729997478,720.0,2.988653421881302,0.5783286355405406
4.5,165.0,27.248853186877426,742.5,2.8641567557575858,0.45383196941682424
4.5,170.0,27.65863337187866,765.0,2.839245368304817,0.42892058196405536
4.5,175.0,28.062430400804562,787.5,2.9137191578871,0.5033943715463383
4.5,180.0,28.460498941515414,810.0,3.0873904858468046,0.6770656995060431
4.5,185.0,28.853076092507017,832.5,3.3600830444407683,0.9497582581000068
4.5,190.0,29.24038303442689,855.0,3.7316308567846272,1.3213060704438657
